s	9836
apo	9518
categori	9381
refer	9340
quot	8674
other	8415
link	8294
thi	8190
extern	8008
two	7949
us	7912
includ	7885
year	7795
first	7689
http	7418
fr	7375
time	7349
state	7299
name	6813
www	6780
see	6761
histori	6653
peopl	6625
part	6500
unit	6491
pt	6371
nl	6333
made	6332
n	6180
known	6085
place	5967
pl	5955
gener	5821
call	5802
ru	5752
i	5685
well	5660
world	5635
live	5625
follow	5614
three	5598
american	5501
earli	5473
both	5454
m	5450
work	5425
origin	5397
through	5381
nation	5377
present	5376
d	5335
sv	5333
ja	5280
e	5196
univers	5194
uk	5158
found	5137
form	5119
ca	5066
citi	5064
make	5061
end	5039
area	5011
id	4977
dai	4944
c	4928
becam	4897
p	4895
base	4891
number	4852
t	4850
hous	4842
second	4838
high	4834
major	4831
march	4752
famili	4735
john	4709
public	4694
list	4692
ag	4679
line	4615
war	4611
april	4590
book	4558
same	4507
larg	4479
html	4464
juli	4442
januari	4422
life	4392
press	4373
septemb	4353
zh	4345
group	4339
w	4338
becom	4337
u	4332
develop	4322
june	4309
